Index,x,y
1,-393.8684211,-327.3576026
2,-353.4684211,-327.3576026
3,-313.0684211,-327.3576026
4,-272.6684211,-327.3576026
5,-232.2684211,-327.3576026
6,-191.8684211,-327.3576026
7,-151.4684211,-327.3576026
8,-111.0684211,-327.3576026
9,-70.66842105,-327.3576026
10,-30.26842105,-327.3576026
11,10.13157895,-327.3576026
12,50.53157895,-327.3576026
13,90.93157895,-327.3576026
14,131.3315789,-327.3576026
15,171.7315789,-327.3576026
16,212.1315789,-327.3576026
17,252.5315789,-327.3576026
18,292.9315789,-327.3576026
19,333.3315789,-327.3576026
20,373.7315789,-327.3576026
21,-373.6684211,-290.9845357
22,-333.2684211,-290.9845357
23,-292.8684211,-290.9845357
24,-252.4684211,-290.9845357
25,-212.0684211,-290.9845357
26,-171.6684211,-290.9845357
27,-131.2684211,-290.9845357
28,-90.86842105,-290.9845357
29,-50.46842105,-290.9845357
30,-10.06842105,-290.9845357
31,30.33157895,-290.9845357
32,70.73157895,-290.9845357
33,111.1315789,-290.9845357
34,151.5315789,-290.9845357
35,191.9315789,-290.9845357
36,232.3315789,-290.9845357
37,272.7315789,-290.9845357
38,313.1315789,-290.9845357
39,353.5315789,-290.9845357
40,393.9315789,-290.9845357
41,-393.8684211,-254.6114687
42,-353.4684211,-254.6114687
43,-313.0684211,-254.6114687
44,-272.6684211,-254.6114687
45,-232.2684211,-254.6114687
46,-191.8684211,-254.6114687
47,-151.4684211,-254.6114687
48,-111.0684211,-254.6114687
49,-70.66842105,-254.6114687
50,-30.26842105,-254.6114687
51,10.13157895,-254.6114687
52,50.53157895,-254.6114687
53,90.93157895,-254.6114687
54,131.3315789,-254.6114687
55,171.7315789,-254.6114687
56,212.1315789,-254.6114687
57,252.5315789,-254.6114687
58,292.9315789,-254.6114687
59,333.3315789,-254.6114687
60,373.7315789,-254.6114687
61,-373.6684211,-218.2384018
62,-333.2684211,-218.2384018
63,-292.8684211,-218.2384018
64,-252.4684211,-218.2384018
65,-212.0684211,-218.2384018
66,-171.6684211,-218.2384018
67,-131.2684211,-218.2384018
68,-90.86842105,-218.2384018
69,-50.46842105,-218.2384018
70,-10.06842105,-218.2384018
71,30.33157895,-218.2384018
72,70.73157895,-218.2384018
73,111.1315789,-218.2384018
74,151.5315789,-218.2384018
75,191.9315789,-218.2384018
76,232.3315789,-218.2384018
77,272.7315789,-218.2384018
78,313.1315789,-218.2384018
79,353.5315789,-218.2384018
80,393.9315789,-218.2384018
81,-393.8684211,-181.8653348
82,-353.4684211,-181.8653348
83,-313.0684211,-181.8653348
84,-272.6684211,-181.8653348
85,-232.2684211,-181.8653348
86,-191.8684211,-181.8653348
87,-151.4684211,-181.8653348
88,-111.0684211,-181.8653348
89,-70.66842105,-181.8653348
90,-30.26842105,-181.8653348
91,10.13157895,-181.8653348
92,50.53157895,-181.8653348
93,90.93157895,-181.8653348
94,131.3315789,-181.8653348
95,171.7315789,-181.8653348
96,212.1315789,-181.8653348
97,252.5315789,-181.8653348
98,292.9315789,-181.8653348
