Index,x,y
236,232.3315789,72.7461339
237,272.7315789,72.7461339
238,313.1315789,72.7461339
239,353.5315789,72.7461339
240,393.9315789,72.7461339
241,-393.8684211,109.1192009
242,-353.4684211,109.1192009
243,-313.0684211,109.1192009
244,-272.6684211,109.1192009
245,-232.2684211,109.1192009
246,-191.8684211,109.1192009
247,-151.4684211,109.1192009
248,-111.0684211,109.1192009
249,-70.66842105,109.1192009
250,-30.26842105,109.1192009
251,10.13157895,109.1192009
252,50.53157895,109.1192009
253,90.93157895,109.1192009
254,131.3315789,109.1192009
255,171.7315789,109.1192009
256,212.1315789,109.1192009
257,252.5315789,109.1192009
258,292.9315789,109.1192009
259,333.3315789,109.1192009
260,373.7315789,109.1192009
261,-373.6684211,145.4922678
262,-333.2684211,145.4922678
263,-292.8684211,145.4922678
264,-252.4684211,145.4922678
265,-212.0684211,145.4922678
266,-171.6684211,145.4922678
267,-131.2684211,145.4922678
268,-90.86842105,145.4922678
269,-50.46842105,145.4922678
270,-10.06842105,145.4922678
271,30.33157895,145.4922678
272,70.73157895,145.4922678
273,111.1315789,145.4922678
274,151.5315789,145.4922678
275,191.9315789,145.4922678
276,232.3315789,145.4922678
277,272.7315789,145.4922678
278,313.1315789,145.4922678
279,353.5315789,145.4922678
280,393.9315789,145.4922678
281,-393.8684211,181.8653348
282,-353.4684211,181.8653348
283,-313.0684211,181.8653348
284,-272.6684211,181.8653348
285,-232.2684211,181.8653348
286,-191.8684211,181.8653348
287,-151.4684211,181.8653348
288,-111.0684211,181.8653348
289,-70.66842105,181.8653348
290,-30.26842105,181.8653348
291,10.13157895,181.8653348
292,50.53157895,181.8653348
293,90.93157895,181.8653348
294,131.3315789,181.8653348
295,171.7315789,181.8653348
296,212.1315789,181.8653348
297,252.5315789,181.8653348
298,292.9315789,181.8653348
299,333.3315789,181.8653348
300,373.7315789,181.8653348
301,-373.6684211,218.2384018
302,-333.2684211,218.2384018
303,-292.8684211,218.2384018
304,-252.4684211,218.2384018
305,-212.0684211,218.2384018
306,-171.6684211,218.2384018
307,-131.2684211,218.2384018
308,-90.86842105,218.2384018
309,-50.46842105,218.2384018
310,-10.06842105,218.2384018
311,30.33157895,218.2384018
312,70.73157895,218.2384018
313,111.1315789,218.2384018
314,151.5315789,218.2384018
315,191.9315789,218.2384018
316,232.3315789,218.2384018
317,272.7315789,218.2384018
318,313.1315789,218.2384018
319,353.5315789,218.2384018
320,393.9315789,218.2384018
321,-393.8684211,254.6114687
322,-353.4684211,254.6114687
323,-313.0684211,254.6114687
324,-272.6684211,254.6114687
325,-232.2684211,254.6114687
326,-191.8684211,254.6114687
327,-151.4684211,254.6114687
328,-111.0684211,254.6114687
329,-70.66842105,254.6114687
330,-30.26842105,254.6114687
331,10.13157895,254.6114687
332,50.53157895,254.6114687
333,90.93157895,254.6114687
334,131.3315789,254.6114687
335,171.7315789,254.6114687
336,212.1315789,254.6114687
337,252.5315789,254.6114687
338,292.9315789,254.6114687
339,333.3315789,254.6114687
340,373.7315789,254.6114687
341,-373.6684211,290.9845357
342,-333.2684211,290.9845357
343,-292.8684211,290.9845357
344,-252.4684211,290.9845357
345,-212.0684211,290.9845357
346,-171.6684211,290.9845357
347,-131.2684211,290.9845357
348,-90.86842105,290.9845357
349,-50.46842105,290.9845357
350,-10.06842105,290.9845357
351,30.33157895,290.9845357
352,70.73157895,290.9845357
353,111.1315789,290.9845357
354,151.5315789,290.9845357
355,191.9315789,290.9845357
356,232.3315789,290.9845357
357,272.7315789,290.9845357
358,313.1315789,290.9845357
359,353.5315789,290.9845357
360,393.9315789,290.9845357
361,-393.8684211,327.3576026
362,-353.4684211,327.3576026
363,-313.0684211,327.3576026
364,-272.6684211,327.3576026
365,-232.2684211,327.3576026
366,-191.8684211,327.3576026
367,-151.4684211,327.3576026
368,-111.0684211,327.3576026
369,-70.66842105,327.3576026
370,-30.26842105,327.3576026
371,10.13157895,327.3576026
372,50.53157895,327.3576026
373,90.93157895,327.3576026
374,131.3315789,327.3576026
375,171.7315789,327.3576026
376,212.1315789,327.3576026
377,252.5315789,327.3576026
378,292.9315789,327.3576026
379,333.3315789,327.3576026
380,373.7315789,327.3576026
